Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
2086635656,-4.528899,0.258197,0.449485,-0.181119,0.204562,0.962106
2086675686,-5.302028,1.295854,-1.671896,-0.189883,0.204669,0.965577
2086715711,-5.386624,1.227280,-0.607242,-0.175642,0.192205,0.959675
2086755730,-2.258714,-1.083022,-0.725173,-0.184685,0.182459,0.963517
2086795760,0.372552,-0.868217,-0.911334,-0.198702,0.194814,0.972208
2086835790,0.792186,0.073392,-0.257661,-0.176647,0.194487,0.959155
2086875805,-0.639913,-0.432065,0.319647,-0.180123,0.195254,0.965028
2086915835,-0.382506,-0.450839,0.313398,-0.184815,0.188589,0.963469
2086955854,0.456731,-0.722179,0.919969,-0.184571,0.198746,0.966982
2086995885,-1.466911,-0.180740,1.371483,-0.180230,0.198580,0.961915
